numerics/lpfeastol = 1e-08
presolving:
(round 1, fast)       61 del vars, 173 del conss, 0 add conss, 136 chg bounds, 0 chg sides, 0 chg coeffs, 12 upgd conss, 0 impls, 29 clqs
(round 2, fast)       73 del vars, 185 del conss, 0 add conss, 136 chg bounds, 0 chg sides, 0 chg coeffs, 12 upgd conss, 0 impls, 29 clqs
(round 3, exhaustive) 73 del vars, 185 del conss, 0 add conss, 136 chg bounds, 0 chg sides, 0 chg coeffs, 53 upgd conss, 0 impls, 29 clqs
   (0.0s) probing: 51/112 (45.5%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 73 deleted vars, 185 deleted constraints, 0 added constraints, 136 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 12 implications, 29 cliques
presolved problem has 152 variables (112 bin, 0 int, 0 impl, 40 cont) and 81 constraints
     12 constraints of type <soc>
     12 constraints of type <varbound>
     29 constraints of type <setppc>
     28 constraints of type <linear>
Presolving Time: 0.00
numerics/lpfeastol = 1e-08

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   109 |     - |2042k| 8.818944e+04 |      --      |    Inf 
F     1 |     0 |   170 |     - |2070k| 8.818944e+04 | 4.928248e+05 | 458.83%
      1 |     0 |   246 |     - |2136k| 1.319587e+05 | 4.928248e+05 | 273.47%
      1 |     0 |   246 |     - |2204k| 1.319587e+05 | 4.928248e+05 | 273.47%
      1 |     0 |   279 |     - |2295k| 1.761962e+05 | 4.928248e+05 | 179.70%
      1 |     0 |   324 |     - |2415k| 1.952020e+05 | 4.928248e+05 | 152.47%
      1 |     0 |   362 |     - |3578k| 2.061472e+05 | 4.928248e+05 | 139.06%
      1 |     0 |   382 |     - |3879k| 2.093651e+05 | 4.928248e+05 | 135.39%
      1 |     0 |   426 |     - |3883k| 2.130998e+05 | 4.928248e+05 | 131.26%
      1 |     0 |   491 |     - |3883k| 2.145580e+05 | 4.928248e+05 | 129.69%
      1 |     0 |   511 |     - |3893k| 2.148629e+05 | 4.928248e+05 | 129.37%
      1 |     0 |   518 |     - |4182k| 2.149445e+05 | 4.928248e+05 | 129.28%
      1 |     0 |   521 |     - |4192k| 2.149589e+05 | 4.928248e+05 | 129.26%
      1 |     0 |   540 |     - |4192k| 2.150644e+05 | 4.928248e+05 | 129.15%
      1 |     0 |   555 |     - |4192k| 2.151600e+05 | 4.928248e+05 | 129.05%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   566 |     - |4539k| 2.152333e+05 | 4.928248e+05 | 128.97%
      1 |     0 |   568 |     - |4539k| 2.152817e+05 | 4.928248e+05 | 128.92%
      1 |     0 |   702 |     - |4539k| 2.222179e+05 | 4.928248e+05 | 121.78%
      1 |     0 |   716 |     - |4539k| 2.223749e+05 | 4.928248e+05 | 121.62%
      1 |     0 |   719 |     - |4540k| 2.223823e+05 | 4.928248e+05 | 121.61%
      1 |     0 |   736 |     - |4540k| 2.224068e+05 | 4.928248e+05 | 121.59%
      1 |     0 |  2845 |     - |4592k| 2.224068e+05 | 4.928248e+05 | 121.59%
E     1 |     0 |  2898 |     - |4609k| 2.224068e+05 | 3.157545e+05 |  41.97%
      1 |     0 |  2898 |     - |4609k| 2.224068e+05 | 3.157545e+05 |  41.97%
      1 |     2 |  2898 |     - |4613k| 2.356789e+05 | 3.157545e+05 |  33.98%
    100 |    99 |  3828 |  31.4 |5024k| 2.694808e+05 | 3.157545e+05 |  17.17%
    200 |   195 |  4211 |  17.5 |5212k| 2.694808e+05 | 3.157545e+05 |  17.17%
N   201 |   189 |  4212 |  17.4 |5212k| 2.694808e+05 | 3.136837e+05 |  16.40%
    300 |   278 |  4937 |  14.1 |5468k| 2.942082e+05 | 3.136837e+05 |   6.62%
*   362 |   250 |  5141 |  12.2 |5554k| 3.115703e+05 | 3.120734e+05 |   0.16%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    400 |   288 |  5368 |  11.6 |5602k| 3.115703e+05 | 3.120734e+05 |   0.16%
    500 |   388 |  6194 |  11.0 |5701k| 3.115927e+05 | 3.120734e+05 |   0.15%
    600 |   488 |  6837 |  10.2 |5973k| 3.115967e+05 | 3.120734e+05 |   0.15%
    700 |   580 |  7558 |   9.8 |6119k| 3.115973e+05 | 3.120734e+05 |   0.15%
    800 |   678 |  8071 |   9.2 |6435k| 3.116025e+05 | 3.120734e+05 |   0.15%
    900 |   764 |  8616 |   8.8 |6550k| 3.116028e+05 | 3.120734e+05 |   0.15%
   1000 |   856 |  9309 |   8.6 |6876k| 3.116029e+05 | 3.120734e+05 |   0.15%
   1100 |   950 |  9958 |   8.4 |6992k| 3.116050e+05 | 3.120734e+05 |   0.15%
   1200 |  1046 | 10585 |   8.2 |7321k| 3.116061e+05 | 3.120734e+05 |   0.15%
   1300 |  1126 | 11450 |   8.3 |7521k| 3.116061e+05 | 3.120734e+05 |   0.15%
   1400 |  1214 | 12003 |   8.1 |7996k| 3.116067e+05 | 3.120734e+05 |   0.15%
   1500 |  1298 | 12522 |   7.9 |8261k| 3.116067e+05 | 3.120734e+05 |   0.15%
   1600 |  1380 | 13084 |   7.7 |8400k| 3.116074e+05 | 3.120734e+05 |   0.15%
   1700 |  1466 | 13787 |   7.7 |8698k| 3.116079e+05 | 3.120734e+05 |   0.15%
   1800 |  1550 | 14139 |   7.5 |8970k| 3.116079e+05 | 3.120734e+05 |   0.15%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1900 |  1622 | 14759 |   7.4 |9166k| 3.116079e+05 | 3.120734e+05 |   0.15%
   2000 |  1708 | 15268 |   7.3 |9381k| 3.116086e+05 | 3.120734e+05 |   0.15%
   2100 |  1790 | 15677 |   7.1 |9917k| 3.116086e+05 | 3.120734e+05 |   0.15%
   2200 |  1876 | 16343 |   7.1 |  10M| 3.116090e+05 | 3.120734e+05 |   0.15%
   2300 |  1966 | 16892 |   7.0 |  10M| 3.116095e+05 | 3.120734e+05 |   0.15%
   2400 |  2058 | 17344 |   6.9 |  10M| 3.116112e+05 | 3.120734e+05 |   0.15%
   2500 |  2148 | 17869 |   6.9 |  10M| 3.116119e+05 | 3.120734e+05 |   0.15%
   2600 |  2242 | 18307 |   6.8 |  11M| 3.116120e+05 | 3.120734e+05 |   0.15%
   2700 |  2334 | 18669 |   6.6 |  11M| 3.116121e+05 | 3.120734e+05 |   0.15%
   2800 |  2418 | 19138 |   6.6 |  12M| 3.116121e+05 | 3.120734e+05 |   0.15%
   2900 |  2500 | 19488 |   6.5 |  12M| 3.116127e+05 | 3.120734e+05 |   0.15%
