numerics/lpfeastol = 1e-08
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       1414 del vars, 1488 del conss, 0 add conss, 2426 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 2, fast)       1425 del vars, 1488 del conss, 0 add conss, 2533 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 1425 del vars, 1489 del conss, 13 add conss, 2533 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 4, fast)       1425 del vars, 1489 del conss, 13 add conss, 2545 chg bounds, 0 chg sides, 0 chg coeffs, 1 upgd conss, 0 impls, 0 clqs
(round 5, exhaustive) 1425 del vars, 1489 del conss, 13 add conss, 2545 chg bounds, 0 chg sides, 0 chg coeffs, 108 upgd conss, 0 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
presolving (6 rounds: 6 fast, 3 medium, 3 exhaustive):
 1425 deleted vars, 1489 deleted constraints, 13 added constraints, 2545 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 563 implications, 6 cliques
presolved problem has 193 variables (64 bin, 0 int, 0 impl, 129 cont) and 139 constraints
     12 constraints of type <soc>
    107 constraints of type <varbound>
     11 constraints of type <linear>
      9 constraints of type <quadratic>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.02
numerics/lpfeastol = 1e-08

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
t     1 |     0 |     0 |     - |7754k|-4.204400e+04 |-5.578000e+03 | 653.75%
      1 |     0 |   126 |     - |8090k|-3.635408e+04 |-5.578000e+03 | 551.74%
      1 |     0 |   162 |     - |8199k|-3.482584e+04 |-5.578000e+03 | 524.34%
      1 |     0 |   206 |     - |  13M|-3.387144e+04 |-5.578000e+03 | 507.23%
      1 |     0 |   244 |     - |  15M|-3.309298e+04 |-5.578000e+03 | 493.28%
      1 |     0 |   266 |     - |  15M|-3.300564e+04 |-5.578000e+03 | 491.71%
      1 |     0 |   296 |     - |  15M|-3.289293e+04 |-5.578000e+03 | 489.69%
      1 |     0 |   319 |     - |  17M|-3.278946e+04 |-5.578000e+03 | 487.84%
      1 |     0 |   356 |     - |  17M|-3.270467e+04 |-5.578000e+03 | 486.32%
      1 |     0 |   384 |     - |  17M|-3.267358e+04 |-5.578000e+03 | 485.76%
      1 |     0 |   413 |     - |  17M|-3.263256e+04 |-5.578000e+03 | 485.02%
      1 |     0 |   456 |     - |  17M|-3.260987e+04 |-5.578000e+03 | 484.62%
      1 |     0 |   476 |     - |  17M|-3.259091e+04 |-5.578000e+03 | 484.28%
      1 |     0 |   504 |     - |  17M|-3.257861e+04 |-5.578000e+03 | 484.06%
      1 |     0 |   533 |     - |  17M|-3.255851e+04 |-5.578000e+03 | 483.70%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   550 |     - |  17M|-3.254828e+04 |-5.578000e+03 | 483.51%
      1 |     0 |   564 |     - |  17M|-3.254405e+04 |-5.578000e+03 | 483.44%
      1 |     0 |   569 |     - |  17M|-3.254405e+04 |-5.578000e+03 | 483.44%
      1 |     0 |   599 |     - |  17M|-3.249181e+04 |-5.578000e+03 | 482.50%
      1 |     0 |   613 |     - |  17M|-3.248775e+04 |-5.578000e+03 | 482.43%
      1 |     0 |   620 |     - |  17M|-3.248763e+04 |-5.578000e+03 | 482.42%
      1 |     0 |   622 |     - |  17M|-3.248762e+04 |-5.578000e+03 | 482.42%
      1 |     0 |   626 |     - |  17M|-3.248762e+04 |-5.578000e+03 | 482.42%
      1 |     0 |   651 |     - |  17M|-3.248016e+04 |-5.578000e+03 | 482.29%
      1 |     0 |   658 |     - |  17M|-3.247902e+04 |-5.578000e+03 | 482.27%
      1 |     0 |   663 |     - |  17M|-3.247901e+04 |-5.578000e+03 | 482.27%
      1 |     0 |   667 |     - |  17M|-3.247859e+04 |-5.578000e+03 | 482.26%
      1 |     0 |   673 |     - |  17M|-3.247858e+04 |-5.578000e+03 | 482.26%
      1 |     2 |  1368 |     - |  17M|-3.234993e+04 |-5.578000e+03 | 479.96%
    100 |    97 |  9062 |  84.7 |  19M|-3.211901e+04 |-5.578000e+03 | 475.82%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
    200 |   189 | 13821 |  66.1 |  20M|-3.203546e+04 |-5.578000e+03 | 474.32%
N   239 |   211 | 16035 |  64.5 |  21M|-3.203546e+04 |-2.639600e+04 |  21.36%
    300 |   270 | 21048 |  68.1 |  22M|-3.203546e+04 |-2.639600e+04 |  21.36%
    400 |   360 | 27832 |  68.1 |  23M|-3.182353e+04 |-2.639600e+04 |  20.56%
    500 |   454 | 34342 |  67.5 |  24M|-3.175427e+04 |-2.639600e+04 |  20.30%
    600 |   548 | 40335 |  66.2 |  25M|-3.175344e+04 |-2.639600e+04 |  20.30%
N   621 |   534 | 41173 |  65.3 |  25M|-3.172494e+04 |-2.773700e+04 |  14.38%
    700 |   607 | 45699 |  64.4 |  26M|-3.170794e+04 |-2.773700e+04 |  14.32%
    800 |   701 | 51679 |  63.8 |  27M|-3.160004e+04 |-2.773700e+04 |  13.93%
    900 |   793 | 58104 |  63.9 |  29M|-3.158981e+04 |-2.773700e+04 |  13.89%
N   933 |   812 | 60024 |  63.7 |  29M|-3.157677e+04 |-2.797500e+04 |  12.87%
   1000 |   873 | 62856 |  62.2 |  29M|-3.156903e+04 |-2.797500e+04 |  12.85%
   1100 |   953 | 66900 |  60.3 |  30M|-3.156243e+04 |-2.797500e+04 |  12.82%
N  1133 |   883 | 68518 |  59.9 |  30M|-3.152434e+04 |-2.887300e+04 |   9.18%
   1200 |   936 | 71876 |  59.4 |  30M|-3.152372e+04 |-2.887300e+04 |   9.18%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   1300 |  1008 | 76300 |  58.2 |  31M|-3.151883e+04 |-2.887300e+04 |   9.16%
   1400 |  1090 | 80737 |  57.2 |  33M|-3.151883e+04 |-2.887300e+04 |   9.16%
   1500 |  1152 | 83881 |  55.5 |  33M|-3.151158e+04 |-2.887300e+04 |   9.14%
   1600 |  1210 | 88326 |  54.8 |  34M|-3.149534e+04 |-2.887300e+04 |   9.08%
   1700 |  1280 | 93980 |  54.9 |  35M|-3.146348e+04 |-2.887300e+04 |   8.97%
   1800 |  1374 | 97901 |  54.0 |  37M|-3.143043e+04 |-2.887300e+04 |   8.86%
   1900 |  1462 |101874 |  53.3 |  38M|-3.142943e+04 |-2.887300e+04 |   8.85%
   2000 |  1550 |105621 |  52.5 |  39M|-3.142731e+04 |-2.887300e+04 |   8.85%
   2100 |  1628 |109163 |  51.7 |  40M|-3.142731e+04 |-2.887300e+04 |   8.85%
   2200 |  1708 |114221 |  51.6 |  42M|-3.142731e+04 |-2.887300e+04 |   8.85%
   2300 |  1786 |117992 |  51.0 |  42M|-3.141312e+04 |-2.887300e+04 |   8.80%
   2400 |  1866 |121962 |  50.6 |  43M|-3.137559e+04 |-2.887300e+04 |   8.67%
   2500 |  1940 |125714 |  50.0 |  44M|-3.137144e+04 |-2.887300e+04 |   8.65%
   2600 |  2014 |130507 |  50.0 |  45M|-3.135977e+04 |-2.887300e+04 |   8.61%
   2700 |  2074 |134149 |  49.5 |  45M|-3.134095e+04 |-2.887300e+04 |   8.55%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   2800 |  2152 |138246 |  49.2 |  46M|-3.133778e+04 |-2.887300e+04 |   8.54%
   2900 |  2226 |142097 |  48.8 |  47M|-3.130758e+04 |-2.887300e+04 |   8.43%
   3000 |  2304 |145827 |  48.4 |  48M|-3.130668e+04 |-2.887300e+04 |   8.43%
   3100 |  2378 |148693 |  47.8 |  49M|-3.130668e+04 |-2.887300e+04 |   8.43%
   3200 |  2460 |152430 |  47.4 |  50M|-3.129438e+04 |-2.887300e+04 |   8.39%
   3300 |  2532 |155850 |  47.0 |  50M|-3.129433e+04 |-2.887300e+04 |   8.39%
   3400 |  2594 |159206 |  46.6 |  51M|-3.129433e+04 |-2.887300e+04 |   8.39%
   3500 |  2674 |163124 |  46.4 |  53M|-3.128855e+04 |-2.887300e+04 |   8.37%
   3600 |  2736 |167910 |  46.5 |  54M|-3.128118e+04 |-2.887300e+04 |   8.34%
N  3637 |  2583 |169994 |  46.6 |  55M|-3.127647e+04 |-2.916400e+04 |   7.24%
   3700 |  2614 |172098 |  46.3 |  55M|-3.127601e+04 |-2.916400e+04 |   7.24%
   3800 |  2704 |174592 |  45.8 |  55M|-3.127463e+04 |-2.916400e+04 |   7.24%
   3900 |  2786 |176988 |  45.2 |  55M|-3.127463e+04 |-2.916400e+04 |   7.24%
   4000 |  2848 |179251 |  44.7 |  56M|-3.127463e+04 |-2.916400e+04 |   7.24%
   4100 |  2934 |183268 |  44.5 |  56M|-3.126875e+04 |-2.916400e+04 |   7.22%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   4200 |  3000 |186559 |  44.3 |  57M|-3.126056e+04 |-2.916400e+04 |   7.19%
   4300 |  3058 |189413 |  43.9 |  58M|-3.125788e+04 |-2.916400e+04 |   7.18%
   4400 |  3120 |193068 |  43.7 |  58M|-3.125389e+04 |-2.916400e+04 |   7.17%
   4500 |  3198 |196787 |  43.6 |  59M|-3.125239e+04 |-2.916400e+04 |   7.16%
   4600 |  3256 |200099 |  43.4 |  62M|-3.125222e+04 |-2.916400e+04 |   7.16%
   4700 |  3312 |203085 |  43.1 |  63M|-3.125222e+04 |-2.916400e+04 |   7.16%
   4800 |  3372 |207384 |  43.1 |  63M|-3.122626e+04 |-2.916400e+04 |   7.07%
   4900 |  3432 |210588 |  42.8 |  64M|-3.121951e+04 |-2.916400e+04 |   7.05%
   5000 |  3486 |213735 |  42.6 |  64M|-3.121685e+04 |-2.916400e+04 |   7.04%
   5100 |  3552 |218339 |  42.7 |  64M|-3.120343e+04 |-2.916400e+04 |   6.99%
   5200 |  3622 |222025 |  42.6 |  67M|-3.117928e+04 |-2.916400e+04 |   6.91%
   5300 |  3682 |225905 |  42.5 |  67M|-3.117928e+04 |-2.916400e+04 |   6.91%
   5400 |  3748 |230626 |  42.6 |  67M|-3.117928e+04 |-2.916400e+04 |   6.91%
   5500 |  3804 |234837 |  42.6 |  69M|-3.116893e+04 |-2.916400e+04 |   6.87%
   5600 |  3870 |239193 |  42.6 |  70M|-3.116409e+04 |-2.916400e+04 |   6.86%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   5700 |  3934 |242543 |  42.4 |  70M|-3.116031e+04 |-2.916400e+04 |   6.85%
   5800 |  3998 |246006 |  42.3 |  71M|-3.115640e+04 |-2.916400e+04 |   6.83%
   5900 |  4054 |248735 |  42.1 |  72M|-3.115640e+04 |-2.916400e+04 |   6.83%
   6000 |  4102 |251458 |  41.8 |  72M|-3.115220e+04 |-2.916400e+04 |   6.82%
   6100 |  4154 |255180 |  41.7 |  73M|-3.114994e+04 |-2.916400e+04 |   6.81%
   6200 |  4222 |258795 |  41.6 |  74M|-3.114891e+04 |-2.916400e+04 |   6.81%
   6300 |  4280 |262493 |  41.6 |  74M|-3.114450e+04 |-2.916400e+04 |   6.79%
   6400 |  4324 |265039 |  41.3 |  75M|-3.114248e+04 |-2.916400e+04 |   6.78%
   6500 |  4374 |267902 |  41.1 |  76M|-3.113292e+04 |-2.916400e+04 |   6.75%
   6600 |  4414 |270808 |  40.9 |  77M|-3.112249e+04 |-2.916400e+04 |   6.72%
   6700 |  4468 |275093 |  41.0 |  77M|-3.111691e+04 |-2.916400e+04 |   6.70%
C  6739 |  4405 |276909 |  41.0 |  77M|-3.111617e+04 |-2.919800e+04 |   6.57%
   6800 |  4429 |278910 |  40.9 |  77M|-3.111176e+04 |-2.919800e+04 |   6.55%
